Book Name:,Author,Genre - Theme - Type,Status:
Scott Pilgrim Volume 3,Bryan Lee O'Malley,Feel good - Funny- Comic,Finished 
Scott Pilgrim Volume 2,Bryan Lee O'Malley,Feel good - Funny- Comic,Finished 
Scott Pilgrim Volume 1,Bryan Lee O'Malley,Feel good - Funny- Comic,Finished 
Somethin is killing the children book 2,James Tynion IV,Horror - Suspense - Comic,Finished 
Something is killing the children book 1,James Tynion IV,Horror - Suspense - Comic,Finished 
Something is killing the children vol. 4,James Tynion IV,Horror - Suspense - Comic,Finished 
Something is killing the children vol. 8,James Tynion IV,Horror - Suspense - Comic,Finished 
W0rldtr33 vol.1 ,James Tynion IV,Horror - Suspense - Comic,Finished 
I Need you read  this ,Jessa Maxwell,Dark - Mysterious - Suspense ,Finished 
Scott Pilgrim Volume 4,Bryan Lee O'Malley,Feel good - Funny- Comic,Did not Finished 
Maid ,Barbara Ehrenreich & Stephanie Land ,Moving - Thought-Provoking,Finished 
The Housemaid ,Freida McFadden,Dark - Mysterious - Suspense ,To Be Read
The Mysterious Case of the Alperton Angels ,Janice Halllett,Fast-paced mystery,To be Read
Butcher & Blackbird,Brynne Weaver,Love - Suspence - Mystery,To Be Read
Mexican Gothic,Silvia Moreno-Garcia,Dark - Mysterious - Suspense ,Did not Finished 
I Fell in Love with Hope,Lancali,Moving - Romance,Did not Finished 
As Good as Dead ,Holly Jackson,Dark - Mysterious - Suspense ,Finished 
"Good Girl, Bad Blood",Holly Jackson,Dark - Mysterious - Suspense ,Finished 
A Good Girl's Guide to Murder,Holly Jackson,Dark - Mysterious - Suspense ,Finished 
The Reappearance of Rachel Price ,Holly Jackson,Dark - Mysterious - Suspense ,To Be Read
Everyone in My Family Has Killeed Someone,Benjamin Stevenson,Funny - Mysterious,Finished 
An Anonymous Girl,Greer Hendricks & Sarah Pekkanen,Dark - Mysterious - Suspense ,Finished 
Two Sides to Every Murder,Danielle Valentine,Dark - Mysterious - Suspense ,To Be Read
W0rldtr33 vol.2,James Tynion IV,Horror - Suspense - Comic,To Be Read
Horror Movie,Paul Tremblay,Horror - Suspense ,To Be Read
Spiral,Koji Sukuki,Thriller - Suspense - Dark,To Be Read
Loop,Koji Sukuki,Thriller - Suspense - Dark,To Be Read
Ring,Koji Sukuki,Thriller - Suspense - Dark,To Be Read
The Only Good Indians,Stephen Graham Jones ,Dark - Mysterious - Suspense ,To Be Read
The Last Olympian ,Rick Riordan,Adventurous,Finished 
The Boyfriend ,Freida McFadden,Dark - Mysterious - Suspense ,To Be Read
Their Vicious Games ,Joelle Wellington,Dark - Mysterious - Suspense ,To Be Read
IT ,Stephen King,Horror - Suspence,Finished 
Hunted,Darcy Coates,Thriller - Suspense - Dark,Did not Finished 
One By One,Ruth Ware,Mysterious - Suspense,To Be Read
The September House ,Carissa Orlando,Dark - Mysterious - Suspense ,To Be Read
The Whisper Man,Alex North,Dark - Mysterious - Suspense ,Finished 
Assistant to the Villain ,Hannah Nicole Maehrer,Adventurous - Feel Good - Fantacy ,To Be Read
Home is Where the Bodies are,Jeneva Rose,Dark - Mysterious - Suspense ,To Be Read
Wrong Place Wrong Time ,Gillian McAllister,Mysterious - Suspense,To Be Read
The 7 1/2 Death of Evelyn Hardcastle,Stuart Turton,Dark - Mysterious - Suspense ,To Be Read
The Perfect Marriage,Jeneva Rose,Dark - Mysterious - Suspense ,To Be Read
Pretty Girls ,Karin Slaughter,Dark - Mysterious - Suspense ,To Be Read
Hidden Pictures ,Jason Rekulak,Dark - Mysterious - Suspense ,Finished 
Rock Paper Scissors,Alice Feeney,Dark - Mysterious - Suspense ,Finished 
The Silent Patient,Alex Michaelides ,Dark - Mysterious - Suspense ,Finished 
Anatomy: A Love Story,Dana Schwartz,Mysterious - Romance,Did not Finished 
The Thursday Murder CLub,Richard Osman ,Dark - Mysterious - Suspense ,To Be Read
Verity ,Collen Hoover,Thriller - Suspense - Dark,To Be Read
Tell Me What You Did,Carter WIlson ,Dark - Mysterious - Suspense ,To Be Read
Black Chalk,Christopher J. Yates,thriller - Suspense - Dark,To Be Read
Strange Picture ,Uketsu,Dark - Mysterious - Suspense ,To Be Read